recipient,amount
0x2eBce0a849A579B0659D5D1facdb7B381Adac9C1,7264414893617021596230
0x5c7e69ed4B9bd0046848041e928D96C63CA7E530,7668670212765957784230
0x841A1Bfaf9F318921c52fB69fC67E6E6b1aef751,3147393617021276734230
0x8e3A8e642B53CC41B76E44C763f8fBb5b012B00a,5998457446808510902230
0x4492aC1457d9BaBdECCe2646adaa1bEFcdff25F8,5397393617021276833230
0x112b234cD8c19F76A562D884B40F3E335C7d212a,5158031914893617248230
0x0eBf2380eAe04B59D176bac16Da5f18541DFedBf,3636755319148936330230
0x69149af7e5EAB2A16aED41069293e1c195d451E2,7551648936170213098230
0x32CEA924bE34574CDF8087d83F16fac86f3fb762,2785691489361702250230
0xdf9db656451251876E6c73f4e3F5e4D550C1D8A1,4844202127659574681230
0xb9817bc64C1d54E9F3669B409A0B17D2128E34aA,5955904255319149198230
0x1ea5c80cFaC84780fF59Df25fdc7213778F15ec2,4211223404255319334230
0x0Fa6Ec0752AaD75A879763f0F2be5dDD0D3230E9,7434627659574468412230
0x8DDF976e607f90Dc8A8633270879604E2fe896aB,5551648936170213010230
0xeC70f0090Cb6963051B0B21e848a9EAce870B82A,4381436170212766150230
0xd621cabE51dB0442dF03DdD68ef53b013C01083A,5264414893617021508230
0x41a52084c0bC95250ebDD87246bE8B0a202BDBB2,3961223404255319323230
0xD2B397CE12F4aef3F6fD34A1221Afb9dfD74192c,7753776595744681192230
0x687e381803139ee020A79b0a6578abB2514ca31c,1982500000000000087230
0x5ce5049B6EEd3f198A72a91CEA6c3aDCeC0D0dE5,3030372340425532048230
0x76C6Ec3526E5d985C5C447Eb5C5f287086a65602,7312287234042553513230
0xF7F825A5C628A8E3fE92ff742b9E7B35D5C984Df,4056968085106383157230
0x919849e8f32BbB3980D1199af8668D044907C7D4,5072925531914893840230
0xe5EDb428c72943fbE9E54Ed41Bf7d610FCE746F9,3120797872340425669230
0x8BFc77fBa19f15e60530CFe95ef6c4926556ec72,5015957446808510859000
0xB84B8E944fD1b63559122DD7F48Eb1733839A6e2,5354840425531915129230
0x1abe14Bbd6688878fc6D4e3eDEAcF31fd83e6fa4,6397393617021276877230
0xD38BD7832159eA9935133a34aA0237F05dE7F457,3615478723404255478230
0xF280Ce79f8C2b8500ef6d66Adf201a9d84c7ccEE,3514414893617021431230
0xec0a01631371c666ef12e5ACe5d73F84e3c0Aef4,7556968085106383311230
0x229677a7e7BC436dF85759e157575605363333e2,3689946808510638460230
0xcDCA3c9f538167f36ca493ea9996dE93a8D786F1,7978723404255319500000
0xEEb001383df4EDD4bd004fC37a42458C70fA3171,7978723404255319500000
0x314DE433BCc94b94E028432e8Be96FA7d20F040D,994680851063829831000
0x7a9b3A1FcE138ee85434Ca4ef4EDCFFaD157A45c,5276595744680851296000
0xA0D0581F032441CB3f76FE7955021978A6E8Fd3F,6984042553191489669000
0x3f2AF3Dd2dB2148a9e55337A6516e76df1d5643b,6966542553191489668230
0xE9D43Bf646733f8Bb04Fc067dfaD85f739A1D9f5,5478723404255319390000
0x0703f4CaB5eEBf3174324851774c4817782E72a3,4035691489361702305230
0xEF307bc42D94160ed10a555a12e5823771271044,4005319148936170389000
