recipient,amount
0x0a0fb69dcb725ce435ffecb279f6ab17abdb86bf,6465000000000000000000
0xdd497fb33fdca2bbd6754594552a80dd704f5007,13735000000000000000000
0xb82c1f76ee4014e1da4102835a129c70a148f32a,14495000000000000000000
0xf81d34538c1741766808528c6ff1f428df82518e,9170000000000000000000
0xeca25d3cdb9568bb1d38a0f9e4c384577fac2399,12425000000000000000000
0x1efa4e2e182ae9dfa2d5306ff031a8cdcbabf10b,12065000000000000000000
0xf46e175bab49c0f614cfbdccef74f2a71591e247,6270000000000000000000
0x36008dbc9f1dc86a2699edfc3704015665d8a9de,7630000000000000000000
0x630a772605b2c85e52c8eb0efe8675c0da95d354,14995000000000000000000
0xeb2b602ab3551469762ef5b34091da228a485f51,2605000000000000000000
0x1448316f3f0c895d1147526576f0ab930df8a110,13025000000000000000000
0x632970f2f1f7346ba2d442f81b35c5b6355cf293,1785000000000000000000
0xeddcb5db2ff717ec0101accc4a20ccb0feffac36,13070000000000000000000
0xc56463ee53ec084f0a9cece3ae1fd82dcc9d6a94,9740000000000000000000
0xd000f7b853eab0cf05440b5cdbec6959666bb551,3810000000000000000000
0x1ef0dcd9cce61010ac06e5174e53b933e787848c,11875000000000000000000
0x940795c62b4d0bd2031cb951715de760a44da293,8145000000000000000000
0x1c16698285733873c38c264877f504b2c53131e7,5645000000000000000000
0x81104c59eb5874c64c2ee00ad77fd05798e0d2e6,10315000000000000000000
0x4d41fd3fa8110c6266258d90e1f02d36c8077e66,4240000000000000000000
0x618a24727189c6d7f2403b17502bd660046363b9,6605000000000000000000
0xa2949c933f7073bed90e86be2135a387deb836e4,13995000000000000000000
0xb671237ea3e27701f0d9e5997f6f7424494f97eb,11255000000000000000000
0x0170d4ab096df2de04f6b041c1e05afb4848619e,7495000000000000000000
0xbba5eb25ad054d3ac3f8c855fd0a6098f45af86a,495000000000000000000
0xeb17b18d1c1503e6f090fc15c2318903d0a906f2,1005000000000000000000
0x815dbc5e1b5798272927d670f92a1a9c98e91cce,300000000000000000000
0x6e3f7db5390e393ad1b5e46a1046bb2ce8ff974e,250000000000000000000
0x5a32e5ca415a53654d4d17a45d30faf50e4f09c7,250000000000000000000
0xdbf914930bd67033b258341d394515c88a2ef666,250000000000000000000
0xf36a8d525a1e2ed3d1abddfba5a950c1ababf6cd,735000000000000000000
0x7dbe1741295e4ec99770ca120d31d4f774d59ac4,1000000000000000000000
0xf79bac4615fe8631685749ca6b7ba22ba8c16a90,250000000000000000000
0x6125e3c54a0c93090261948dd33e89cd29b205b5,600000000000000000000
0xd7cd1a2df715abaac7b81e001cc3b063e2022fee,310000000000000000000
0xf3837fc9a1c4702cd5e3e3703369ae2f0dac449c,250000000000000000000
0x1d1a547b52f26cb7041065544836fbfa8043b6da,515000000000000000000
0x88e85316a246b9e57a25a3481af990d262cad4b3,250000000000000000000
0x7db064cce4faed858e81a18f3fb292e48ff625e6,250000000000000000000
0x9447a25b2a4487b301915a9fe7b4bc5653fb4c18,250000000000000000000
0x16fe7c393db52dd369e70e64d817c600687548cb,2020000000000000000000
0xe8bb740ad2ca00fa1e7e325b34b7ccb1b20b24f8,3400000000000000000000
0x98781eccbe2958390b0d3e68c7a7ff77a5f69bf0,3145000000000000000000
0x119a468dea5fa18e676587a6cf8e0cb4898cbab9,315000000000000000000
0xa1772b3b2d91cd3e235d7bd7e5f3ca77dc97c802,255000000000000000000
0x88546b8c7413dc1078fd56f9edabdaffcf492809,350000000000000000000
0xec461bd577e7d5a4c9a69d1a28d1fe880ae6e206,1500000000000000000000
0xb726fa8b50e379da28e39c65de1bc3d64fc616e1,950000000000000000000
0xd7ab04925cf09bca63f7883ff0760e67bfd46472,605000000000000000000
0x72fd1cf048c537c5af7b2454379bdcb5b0ccdab9,1730000000000000000000
0x8df88f1a647daa7db477e32506c0e2e57876082c,605000000000000000000
