recipient,amountPPT18Dec,amount_deposited_of_USD,amountPPT
0x8405627E47Ca4f4F918C1De7012F4270F8812b8A,"7,973,404,255,319,140,000,000.00","$1,499.00","7,973.40"
0x03BD966121fFB04B26078def5A401E78DB5F3CBb,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x3B19C4c892baF51F6A598eCD7B719ceBB0E36361,"7,973,404,255,319,140,000,000.00","$1,499.00","7,973.40"
0xFb3957Bf933AB9c521020A90Bfaa8fc82e732323,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xc28D16075fA6a7f8039CD286ae8D61e52D9560Bd,"7,973,404,255,319,140,000,000.00","$1,499.00","7,973.40"
0x95f48B33d4f27E5842E005DFa96Ff8F96eD29F6C,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x3Ea1805768fDBA949A6936C25df7779d676C4F3d,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xB60659a3A0C8Ecde9DdAe06B1B1925dde36B51dd,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xAbea0Af535B004364848B992b5E44d929Deb047F,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x8Da18E320F629cafdE27aBBdfeeE6f3e878b4Cc7,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x549f99629E07291e5b446d4DcCFd1dF42b2EDF5b,"7,973,404,255,319,140,000,000.00","$1,499.00","7,973.40"
0x6EA7FCEB0A2C0BC51652D5530ab4f07c2e9D9D1d,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x48351ee21DEb61A30c853B6dD8c04A36Ffc4C08A,"7,952,127,659,574,460,000,000.00","$1,495.00","7,952.13"
0x860d4cD70d4C3BFc902728Eb68f77B5915d917A7,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x987d7ffc7C35Cc132516760e0D6133B0c7c4E02A,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x15622B3156E73167B0dea638008A829a0F433EDC,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xB3caBda9C624a00b1CBF8FF809EC526B30983B45,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xdecfc7351961483e3ceD4792Af48FF7Efb387D39,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xE86B33c0B50AdA40755DCC2DCEE61DBf07f891C9,"7,973,404,255,319,140,000,000.00","$1,499.00","7,973.40"
0xeE73AfD901dfa3cAefa1cb51dEA6159538C88b7b,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xd9507fA5Fc42bd9cb7875045b3A92b97293217eF,"7,973,404,255,319,140,000,000.00","$1,499.00","7,973.40"
0x1a4302dC8bF28587BD3B0b4778cD3f382B29E646,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xFF71F4C0715097710aFD96C2dA8F5F86Be1b08F5,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x44070fEdB5017921d48e70a28804D501eEE81aD6,"7,973,404,255,319,140,000,000.00","$1,499.00","7,973.40"
0xE499448fD86c91E041DC669e09f4dc4a4Bbea605,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x68fE637ca877404C8702d0A95d9f2E7b82F9B5ed,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x7e100aEB2409598231CeEa50226CbC5261589942,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x12784dd9C22604805fA12bc47993CE9fd148cCa8,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x090667A9b3C0401D3382E32796D3061F9C9596d7,"5,200,585,106,382,970,000,000.00",$977.71,"5,200.59"
0x6D8a47bd1e2A65Ad239f678F02d8cE1a2435B0a1,"6,610,159,574,468,080,000,000.00","$1,242.71","6,610.16"
0x6f143aE1aE081bce7fA6b7a8c86A74F7bec83f49,"7,264,414,893,617,020,000,000.00","$1,365.71","7,264.41"
0x86B5a8Ba346C0707016eB968Ec2B6B374E4ebB4E,"7,668,670,212,765,950,000,000.00","$1,441.71","7,668.67"
0xb0b87EC79dA00d8f97A50E9cA4FE032E53FD15B4,"3,147,393,617,021,270,000,000.00",$591.71,"3,147.39"
0xc555643b65B2994Ff31795fD210b54Be023E2461,"5,998,457,446,808,510,000,000.00","$1,127.71","5,998.46"
